Education,Marital_Status,Income,Recency,Deals,online,Catalog,Store,NumWebVisitsMonth,month_enroll,Generation,Age,Childrens,Compaigns_Engagement,Income_to_Spending_Ratio,Cluster
Undergraduate,Alone,0.39453124759997105,58,3,8,10,4,7,9,Baby Boomers,68,0,0,35.954236239950525,1
Undergraduate,Alone,0.323934753810587,38,2,1,1,2,5,3,Baby Boomers,71,2,0,1716.4444444444443,1
Undergraduate,Partner,0.4695249324497327,26,1,8,2,10,4,8,Gen X,60,0,0,92.284793814433,2
Undergraduate,Partner,0.19363256113573343,26,2,2,0,4,6,2,Millennials,41,1,0,502.7547169811321,0
PhD,Partner,0.3954266527872895,94,5,5,3,6,5,1,Millennials,44,1,0,138.1350710900474,1
Postgraduate,Partner,0.41950172589180834,16,2,6,4,10,6,9,Gen X,58,1,0,87.30865921787709,2
Undergraduate,Alone,0.37995977244379786,34,4,7,3,7,6,11,Gen X,54,1,0,94.29661016949152,1
PhD,Partner,0.24061219834946593,32,2,4,0,4,8,5,Millennials,40,1,0,197.9526627218935,0
PhD,Partner,0.2194728010121348,19,1,3,0,2,9,6,Gen X,51,1,0,659.804347826087,0
PhD,Partner,0.03304413076140341,68,1,1,0,0,20,3,Baby Boomers,75,2,1,115.26530612244898,0
Undergraduate,Partner,0.0482916794729126,59,1,2,0,3,8,11,Gen X,49,0,0,122.95081967213116,0
Undergraduate,Alone,0.4224286094172445,82,1,3,4,8,2,11,Baby Boomers,66,0,0,57.19872958257713,2
Postgraduate,Alone,0.4015344120833581,53,3,6,1,5,6,11,Baby Boomers,73,2,0,191.46451612903223,1
Undergraduate,Partner,0.12549296699284695,38,1,1,0,3,8,10,Millennials,38,0,0,376.5869565217391,0
PhD,Alone,0.5277776032029744,23,1,7,6,12,3,11,Baby Boomers,79,0,2,62.965779467680605,2
Undergraduate,Partner,0.2956664984017262,51,3,3,0,3,8,12,Gen X,45,2,0,435.9375,1
Undergraduate,Partner,0.2692259214282002,20,2,4,1,6,7,8,Baby Boomers,79,0,0,119.1167192429022,1
Postgraduate,Partner,0.49797376675716537,91,2,11,4,9,5,3,Baby Boomers,76,1,1,43.20707070707071,2
Postgraduate,Alone,0.24302259248461386,86,2,2,1,3,6,11,Millennials,40,1,0,254.2255639097744,0
Undergraduate,Partner,0.2644981062254548,41,1,4,2,5,8,8,Millennials,43,0,0,117.21518987341771,1
Undergraduate,Partner,0.0061293244490338615,42,15,0,28,0,1,1,Gen X,46,1,0,1.414450867052023,0
PhD,Partner,0.3972381168471217,63,3,2,3,9,8,12,Baby Boomers,76,1,1,60.29526748971193,1
PhD,Partner,0.4352227348716579,0,3,6,2,9,4,1,Baby Boomers,71,1,0,120.08088235294116,2
Undergraduate,Partner,0.28823178177869585,69,7,7,1,5,8,3,Baby Boomers,74,1,0,91.64189189189187,1
Undergraduate,Alone,0.13502283478254856,89,2,2,1,3,7,1,Gen X,56,0,0,247.85333333333327,0
Undergraduate,Partner,0.36652292353814303,4,4,5,1,4,7,5,Gen X,49,2,0,207.6225680933852,1
Undergraduate,Partner,0.2731487642396626,26,2,2,1,4,3,5,Millennials,36,1,0,292.82442748091603,1
PhD,Partner,0.5369317687245007,96,1,6,9,10,2,11,Gen X,60,0,1,50.60885167464115,2
Postgraduate,Alone,0.07632058272902031,34,2,3,0,3,5,5,Millennials,36,0,0,365.9666666666666,0
Postgraduate,Partner,0.27484389538252957,56,1,2,5,3,3,5,Baby Boomers,62,0,0,121.44654088050316,1
Undergraduate,Partner,0.2873250817828131,31,2,2,1,4,5,10,Gen X,55,1,1,337.9,1
PhD,Alone,0.3255831654190745,8,6,4,1,6,6,10,Baby Boomers,73,2,0,154.33774834437085,1
Postgraduate,Partner,0.453548416369053,4,1,3,5,9,7,2,Baby Boomers,79,0,0,57.40551839464883,2
Postgraduate,Alone,0.3426441722855251,55,1,2,0,3,7,8,Baby Boomers,74,2,0,759.8307692307692,1
PhD,Partner,0.44641863174374485,37,5,5,6,12,2,12,Gen X,55,1,0,73.7710843373494,2
Postgraduate,Partner,0.1727283392225961,76,3,3,1,2,7,9,Gen X,49,1,0,292.81481481481484,0
Undergraduate,Alone,0.29935369610903817,99,2,1,1,3,5,2,Gen X,52,1,0,633.2686567164179,1
PhD,Alone,0.3399561133217193,53,2,7,10,5,6,2,Silent Generation,82,0,1,54.26607538802661,1
Undergraduate,Partner,0.5135692295243122,3,2,8,6,5,4,4,Gen X,45,1,0,57.355555555555554,2
Postgraduate,Partner,0.1496738039111743,88,2,2,0,3,8,3,Millennials,40,1,0,387.9056603773585,0
Undergraduate,Partner,0.16021243134087076,4,1,0,0,3,5,12,Baby Boomers,68,1,0,999.7272727272727,0
Postgraduate,Partner,0.0482916794729126,19,3,2,0,3,5,10,Gen X,50,1,0,241.93548387096772,0
Undergraduate,Alone,0.5132100092337403,72,1,2,4,9,1,6,Gen X,49,0,0,81.24085365853658,2
Postgraduate,Partner,0.0482916794729126,24,3,3,1,3,9,11,Millennials,29,0,0,61.47540983606557,0
Undergraduate,Partner,0.29488783874194835,92,1,2,0,2,10,5,Gen X,57,1,0,758.6909090909091,1
PhD,Partner,0.4745363885021791,39,9,5,2,12,8,11,Baby Boomers,71,2,0,55.00379075056861,2
Undergraduate,Alone,0.4361212598536967,29,1,4,2,10,2,5,Baby Boomers,68,1,0,129.16370808678502,2
Postgraduate,Partner,0.5091057513540767,2,1,6,9,13,3,8,Baby Boomers,61,0,0,46.74719432959244,2
Undergraduate,Alone,0.2562366278946752,54,2,2,0,3,7,1,Gen X,48,1,0,497.0833333333333,0
Undergraduate,Alone,0.5266742609259117,54,1,4,9,7,1,6,Gen X,48,0,2,51.07111935683364,2
Undergraduate,Partner,0.44102670050562554,57,7,4,2,10,3,6,Gen X,47,2,0,109.52640264026402,2
Postgraduate,Partner,0.5256710866567981,55,1,3,10,13,1,11,Baby Boomers,70,0,1,42.09708737864078,2
Undergraduate,Alone,0.46238975133668314,30,1,5,5,10,3,4,Gen X,59,0,0,64.30649588289113,2
Undergraduate,Alone,0.2027195366099353,31,1,1,0,4,3,4,Millennials,37,1,0,963.3793103448276,0
PhD,Partner,0.3818287128477814,63,3,8,2,6,7,3,Gen X,57,1,0,108.01930501930502,1
Postgraduate,Alone,0.49160600011743133,12,1,3,6,11,1,7,Millennials,43,0,2,52.69610570236439,2
Undergraduate,Partner,0.44257022119618905,18,4,4,2,12,3,9,Gen X,50,2,0,108.91013071895424,2
Undergraduate,Alone,0.41560470387230825,26,4,8,2,10,7,2,Baby Boomers,73,1,0,69.93552036199095,2
PhD,Alone,0.44821132658316887,8,1,7,3,8,5,6,Baby Boomers,74,1,0,111.68316831683168,2
Undergraduate,Partner,0.4644343446679112,29,1,7,4,4,4,12,Baby Boomers,77,0,0,65.67472118959108,2
Undergraduate,Partner,0.18707569513631328,75,1,1,1,2,7,5,Gen X,54,1,0,756.5,0
Undergraduate,Partner,0.23398403628594505,0,1,1,0,2,7,5,Gen X,58,2,0,2952.181818181818,0
Postgraduate,Alone,0.5546970753747861,19,1,11,10,10,5,3,Gen X,46,1,2,69.22605965463109,2
Undergraduate,Partner,0.45593731213801364,4,1,5,2,10,4,9,Baby Boomers,67,1,0,105.81316998468608,2
Undergraduate,Partner,0.48675335713432866,90,7,2,5,5,5,4,Gen X,55,3,0,47.921895006402046,2
Postgraduate,Partner,0.44443030290467883,1,3,4,8,6,3,9,Baby Boomers,71,0,0,53.46448523543496,2
Undergraduate,Partner,0.4335955714409148,29,4,10,3,13,7,3,Baby Boomers,66,1,0,75.35457705677868,2
PhD,Partner,0.4088364693109665,88,5,9,2,8,7,4,Gen X,50,2,1,91.72617246596069,1
Undergraduate,Partner,0.20547429187498603,58,1,2,1,4,2,4,Baby Boomers,73,0,0,435.8769230769231,0
Undergraduate,Alone,0.2853803013260176,68,1,1,0,2,6,12,Gen X,48,1,0,3095.846153846154,1
Postgraduate,Partner,0.4888434586096414,34,1,7,6,5,5,8,Gen X,53,0,0,39.81534391534392,2
Undergraduate,Alone,0.4918577155858892,40,0,5,8,9,4,10,Gen X,49,0,1,34.32548664554097,2
Postgraduate,Partner,0.19136910054206976,12,1,0,0,3,3,9,Gen X,49,0,0,1462.5555555555557,0
Undergraduate,Partner,0.38236706929370445,9,2,10,1,8,8,1,Gen X,60,0,1,80.99132947976878,1
Undergraduate,Alone,0.21539541482151983,87,4,3,1,4,8,8,Millennials,40,1,0,180.3636363636364,0
Undergraduate,Partner,0.1912132992450629,5,1,1,0,2,7,6,Gen X,56,1,0,1644.0,0
Postgraduate,Partner,0.17158056498431123,87,3,3,0,3,7,7,Gen X,52,1,0,298.2151898734177,0
Postgraduate,Partner,0.27484389538252957,56,1,2,5,3,3,5,Baby Boomers,62,0,0,121.44654088050316,1
Undergraduate,Alone,0.5204719267313334,18,1,3,10,13,1,2,Millennials,38,0,0,104.5771208226221,2
Undergraduate,Partner,0.21318073544263488,95,2,1,0,4,7,8,Baby Boomers,65,2,0,525.7142857142857,0
Postgraduate,Partner,0.25854348751322437,48,5,3,1,4,7,7,Gen X,55,2,1,239.32450331125827,0
Undergraduate,Alone,0.3487068566078409,3,4,6,1,6,7,5,Baby Boomers,68,1,2,135.4516129032258,1
