Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,month_enroll,year_enroll,Age,Childrens,Compaigns_Engagement,Income_to_Spending_Ratio,Generation
Undergraduate,Alone,58138.0,58.0,635.0,79.5,546.0,120.5,81.0,88.0,3.0,8.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,68.0,0.0,0.0,35.954236239950525,Baby Boomers
Undergraduate,Alone,46344.0,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,71.0,2.0,0.0,969.270749587855,Baby Boomers
Undergraduate,Partner,71613.0,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,60.0,0.0,0.0,92.28479381443299,Gen X
Undergraduate,Partner,26646.0,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,2013.0,41.0,1.0,0.0,502.75471698113205,Millennials
PhD,Partner,58293.0,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,44.0,1.0,0.0,138.1350710900474,Millennials
Postgraduate,Partner,62513.0,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,58.0,1.0,0.0,87.30865921787709,Gen X
Undergraduate,Alone,55635.0,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,54.0,1.0,0.0,94.29661016949153,Gen X
PhD,Partner,33454.0,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,40.0,1.0,0.0,197.9526627218935,Millennials
PhD,Partner,30351.0,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,2013.0,51.0,1.0,0.0,659.804347826087,Gen X
PhD,Partner,5648.0,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,75.0,2.0,0.0,115.26530612244898,Baby Boomers
Undergraduate,Partner,7500.0,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,49.0,0.0,0.0,122.95081967213115,Gen X
Undergraduate,Alone,63033.0,82.0,194.0,61.0,480.0,120.5,81.0,30.0,1.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,66.0,0.0,0.0,57.19872958257713,Baby Boomers
Postgraduate,Alone,59354.0,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,73.0,2.0,0.0,191.46451612903226,Baby Boomers
Undergraduate,Partner,17323.0,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,10.0,2013.0,38.0,0.0,0.0,376.5869565217391,Millennials
PhD,Alone,82800.0,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,79.0,0.0,0.0,62.965779467680605,Baby Boomers
Undergraduate,Partner,41850.0,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,45.0,2.0,0.0,435.9375,Gen X
Undergraduate,Partner,37760.0,20.0,84.0,5.0,38.0,120.5,12.0,28.0,2.0,4.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,79.0,0.0,0.0,119.1167192429022,Baby Boomers
Postgraduate,Partner,76995.0,91.0,1012.0,79.5,498.0,0.0,16.0,126.5,2.0,11.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,76.0,1.0,0.0,43.207070707070706,Baby Boomers
Postgraduate,Alone,33812.0,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,40.0,1.0,0.0,254.22556390977442,Millennials
Undergraduate,Partner,37040.0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,43.0,0.0,0.0,117.21518987341773,Millennials
Undergraduate,Partner,2447.0,42.0,1.0,1.0,556.625,1.0,1.0,1.0,6.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,46.0,1.0,0.0,1.414450867052023,Gen X
