Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,month_enroll,Generation,Age,Childrens,Compaigns_Engagement,Income_to_Spending_Ratio,Cluster,Cluster_Category
Undergraduate,Alone,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,9,Baby Boomers,68,0,0,35.954236239950525,0,Moderate Spender
Undergraduate,Alone,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,3,Baby Boomers,71,2,0,969.270749587855,0,Moderate Spender
Undergraduate,Partner,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,8,Gen X,60,0,0,92.284793814433,2,High Spender
Undergraduate,Partner,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,2,Millennials,41,1,0,502.7547169811321,1,Low Spender
PhD,Partner,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,1,Millennials,44,1,0,138.1350710900474,0,Moderate Spender
Postgraduate,Partner,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,9,Gen X,58,1,0,87.30865921787709,0,Moderate Spender
Undergraduate,Alone,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,11,Gen X,54,1,0,94.29661016949152,0,Moderate Spender
PhD,Partner,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,5,Millennials,40,1,0,197.9526627218935,1,Low Spender
PhD,Partner,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,6,Gen X,51,1,0,659.804347826087,1,Low Spender
PhD,Partner,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,3,Baby Boomers,75,2,1,115.26530612244898,1,Low Spender
Undergraduate,Partner,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,11,Gen X,49,0,0,122.95081967213116,1,Low Spender
Undergraduate,Alone,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,11,Baby Boomers,66,0,0,57.19872958257713,0,Moderate Spender
Postgraduate,Alone,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,11,Baby Boomers,73,2,0,191.46451612903223,0,Moderate Spender
Undergraduate,Partner,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,10,Millennials,38,0,0,376.5869565217391,1,Low Spender
PhD,Alone,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,11,Baby Boomers,79,0,2,62.965779467680605,2,High Spender
Undergraduate,Partner,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,12,Gen X,45,2,0,435.9375,0,Moderate Spender
Undergraduate,Partner,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,8,Baby Boomers,79,0,0,119.1167192429022,1,Low Spender
Postgraduate,Partner,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,3,Baby Boomers,76,1,1,43.20707070707071,2,High Spender
Postgraduate,Alone,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,11,Millennials,40,1,0,254.2255639097744,1,Low Spender
Undergraduate,Partner,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,8,Millennials,43,0,0,117.21518987341771,1,Low Spender
Undergraduate,Partner,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,1,Gen X,46,1,0,1.414450867052023,1,Low Spender
PhD,Partner,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,12,Baby Boomers,76,1,1,60.29526748971193,0,Moderate Spender
PhD,Partner,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,1,Baby Boomers,71,1,0,120.08088235294116,2,High Spender
Undergraduate,Partner,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,3,Baby Boomers,74,1,0,91.64189189189187,0,Moderate Spender
Undergraduate,Alone,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,1,Gen X,56,0,0,247.85333333333327,1,Low Spender
