Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,Age,Childrens,Spending-to-Income-Ratio,Cluster,Cluster_Category
Undergraduate,Alone,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,68,0,2.781313426674465,1,Moderate Spenders
Undergraduate,Alone,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,71,2,0.0582599689280165,0,Low Spenders
Undergraduate,Partner,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,60,0,1.0836021392763884,1,Moderate Spenders
Undergraduate,Partner,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,41,1,0.1989041507168055,0,Low Spenders
PhD,Partner,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,44,1,0.7239291167035493,1,Moderate Spenders
Postgraduate,Partner,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,58,1,1.1453617647529315,1,Moderate Spenders
Undergraduate,Alone,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,54,1,1.0604835085827269,1,Moderate Spenders
PhD,Partner,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,40,1,0.5051712799665211,0,Low Spenders
PhD,Partner,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,51,1,0.1515600803927383,0,Low Spenders
PhD,Partner,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,75,2,0.8675637393767706,0,Low Spenders
Undergraduate,Partner,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,49,0,0.8133333333333332,0,Low Spenders
Undergraduate,Alone,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,66,0,1.748290577951232,1,Moderate Spenders
Postgraduate,Alone,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,73,2,0.5222899888802777,1,Moderate Spenders
Undergraduate,Partner,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,38,0,0.2655429198175835,0,Low Spenders
PhD,Alone,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,79,0,1.5881642512077294,1,Moderate Spenders
Undergraduate,Partner,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,45,2,0.2293906810035842,0,Low Spenders
Undergraduate,Partner,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,79,0,0.8395127118644067,0,Low Spenders
Postgraduate,Partner,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,76,1,2.314436002337814,1,Moderate Spenders
Postgraduate,Alone,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,40,1,0.3933514728498757,0,Low Spenders
Undergraduate,Partner,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,43,0,0.8531317494600432,0,Low Spenders
Undergraduate,Partner,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,46,1,3.5315163012940545,0,Low Spenders
PhD,Partner,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,76,1,1.658504956745781,1,Moderate Spenders
PhD,Partner,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,71,1,0.8327720286571552,1,Moderate Spenders
Undergraduate,Partner,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,74,1,1.0912040109120402,0,Low Spenders
Undergraduate,Alone,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,56,0,0.4034644144386465,0,Low Spenders
