ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,month_enroll,year_enroll,Age,Childrens,customer_spending,Compaigns_Engagement,Income_to_Spending_Ratio,Generation
5524,1957,Undergraduate,Alone,58138.0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,9,2012,68,0,1617,0,35.954236239950525,Baby Boomers
2174,1954,Undergraduate,Alone,46344.0,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,3,2014,71,2,27,0,1716.4444444444443,Baby Boomers
4141,1965,Undergraduate,Partner,71613.0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,8,2013,60,0,776,0,92.284793814433,Gen X
6182,1984,Undergraduate,Partner,26646.0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2,2014,41,1,53,0,502.7547169811321,Millennials
5324,1981,PhD,Partner,58293.0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1,2014,44,1,422,0,138.1350710900474,Millennials
7446,1967,Postgraduate,Partner,62513.0,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,9,2013,58,1,716,0,87.30865921787709,Gen X
965,1971,Undergraduate,Alone,55635.0,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,11,2012,54,1,590,0,94.29661016949152,Gen X
6177,1985,PhD,Partner,33454.0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,5,2013,40,1,169,0,197.9526627218935,Millennials
4855,1974,PhD,Partner,30351.0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,6,2013,51,1,46,0,659.804347826087,Gen X
5899,1950,PhD,Partner,5648.0,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,3,2014,75,2,49,1,115.26530612244898,Baby Boomers
387,1976,Undergraduate,Partner,7500.0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,11,2012,49,0,61,0,122.95081967213116,Gen X
2125,1959,Undergraduate,Alone,63033.0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,11,2013,66,0,1102,0,57.19872958257713,Baby Boomers
8180,1952,Postgraduate,Alone,59354.0,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,11,2013,73,2,310,0,191.46451612903223,Baby Boomers
2569,1987,Undergraduate,Partner,17323.0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,10,2012,38,0,46,0,376.5869565217391,Millennials
2114,1946,PhD,Alone,82800.0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,11,2012,79,0,1315,2,62.965779467680605,Baby Boomers
9736,1980,Undergraduate,Partner,41850.0,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,12,2012,45,2,96,0,435.9375,Gen X
4939,1946,Undergraduate,Partner,37760.0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,8,2012,79,0,317,0,119.1167192429022,Baby Boomers
6565,1949,Postgraduate,Partner,76995.0,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,3,2013,76,1,1782,1,43.20707070707071,Baby Boomers
